Star,RA,DEC,SpT,V,H,K,Diam,Err,Reference,Instrument
HD 38529,,,,,,,0.573,0.049,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 50554,,,,,,,0.344,0.1,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 59686,,,,,,,1.106,0.011,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 75732,,,,,,,0.854,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 104985,,,,,,,1.032,0.023,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 117176,,,,,,,1.009,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 120136,,,,,,,0.786,0.016,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 143761,,,,,,,0.686,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 145675,,,,,,,0.371,0.044,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 177830,,,,,,,0.467,0.058,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 186427,,,,,,,0.426,0.056,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 189733,,,,,,,0.377,0.024,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 190228,,,,,,,0.453,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 190360,,,,,,,0.698,0.019,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 196885,,,,,,,0.494,0.046,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 217014,,,,,,,0.748,0.027,"Baines et al. 2008, ApJ, 680, 728",CLASSIC
HD 6582,,,,,,,0.973,0.009,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC
HD 185144,,,,,,,1.254,0.012,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC
HD 10780,,,,,,,0.763,0.021,"Boyajian et al. 2008, ApJ, 683, 424",CLASSIC
HD 201091,,,,,,,1.775,0.013,"Kervella et al. 2008, A&A, 488, 667",FLUOR
HD 201092,,,,,,,1.581,0.022,"Kervella et al. 2008, A&A, 488, 667",FLUOR
HD 27371,,,,,,,2.517,0.034,"Boyajian et al. 2009, ApJ, 691, 1243",CLASSIC
HD 27697,,,,,,,2.408,0.038,"Boyajian et al. 2009, ApJ, 691, 1243",CLASSIC
HD 28305,,,,,,,2.734,0.031,"Boyajian et al. 2009, ApJ, 691, 1243",CLASSIC
HD 28307,,,,,,,2.305,0.043,"Boyajian et al. 2009, ApJ, 691, 1243",CLASSIC
HD 102647,,,,,,,1.339,0.013,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR
HD 97603,,,,,,,1.165,0.022,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR
HD 38678,,,,,,,0.67,0.14,"Akeson et al. 2009, ApJ, 691, 1896",FLUOR
HD 32518,,,,,,,0.851,0.022,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 60294,,,,,,,1.044,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 73108,,,,,,,2.225,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 102328,,,,,,,1.606,0.006,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 103605,,,,,,,1.098,0.01,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 106574,,,,,,,1.498,0.028,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 113049,,,,,,,0.971,0.022,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
HD 136726,,,,,,,2.336,0.02,"E.K. Baines, et al., The Astrophysical Journal, 710, 1365 (2010).",CLASSIC
